id,journal_text,emotional_state,intensity,stress_level,energy_level,time_of_day,reflection_quality,text_length,is_vague_text,predicted_state,predicted_intensity,confidence,uncertain_flag,error_reason
559,During the session mind was all over the place. Later it changed felt better after a bit.,calm,5,2,5,2,1,89,0,overwhelmed,3,0.3226,0,"LOW_CONFIDENCE — model genuinely uncertain, borderline case"
623,During teh session could focus for a while. Later it changed still anxious a bit.,overwhelmed,4,5,1,2,2,81,0,calm,2,0.2597,1,"LOW_CONFIDENCE — model genuinely uncertain, borderline case"
740,Honestly got distracted again.,overwhelmed,2,2,4,3,0,30,0,focused,4,0.2379,1,"NOISY_LABEL — vague reflection quality, unreliable ground truth"
789,at first kept thinking about work. later it changed still a bit off tbh.,focused,1,5,4,4,0,72,0,mixed,3,0.2675,1,"NOISY_LABEL — vague reflection quality, unreliable ground truth"
515,At first felt heavy.,mixed,1,3,3,3,0,20,0,overwhelmed,2,0.3844,0,"NOISY_LABEL — vague reflection quality, unreliable ground truth"
632,honestly not much change,mixed,3,3,1,4,1,24,0,overwhelmed,4,0.4281,0,AMBIGUOUS_CONTEXT — multiple valid interpretations
514,felt good for a moment,neutral,4,1,3,1,2,22,0,calm,4,0.3834,1,OVERLAPPING_STATES — 'neutral' and 'calm' share vocabulary
564,kinda calm now,overwhelmed,1,4,3,2,0,14,1,focused,3,0.3294,1,SHORT_TEXT — too little signal for model
508,At first felt good for a moment.,restless,5,5,4,2,1,32,0,calm,4,0.3716,0,"LOW_CONFIDENCE — model genuinely uncertain, borderline case"
669,honestly not much change,neutral,3,2,2,2,2,24,0,focused,3,0.3424,0,OVERLAPPING_STATES — 'neutral' and 'focused' share vocabulary
439,for some reason things felt ordinary so i sat with that feeling.,neutral,2,5,5,1,2,64,0,calm,3,0.2289,1,OVERLAPPING_STATES — 'neutral' and 'calm' share vocabulary
767,by the end kinda calm now.,restless,3,4,3,2,0,26,0,overwhelmed,4,0.3822,0,"NOISY_LABEL — vague reflection quality, unreliable ground truth"
654,Honestly honestly not much change.,focused,1,1,4,3,2,34,0,restless,3,0.4331,0,AMBIGUOUS_CONTEXT — multiple valid interpretations
722,During the session mind was all over the place. After some time back to normal after.,calm,5,5,1,2,2,85,0,mixed,4,0.3487,1,OVERLAPPING_STATES — 'calm' and 'mixed' share vocabulary
819,started off fine i guess. this was better than yesterday. ...,neutral,5,3,1,2,1,61,0,mixed,3,0.3793,0,OVERLAPPING_STATES — 'neutral' and 'mixed' share vocabulary
600,during the session helped me plan my day. later it changed felt good for a moment.,restless,1,1,2,3,2,82,0,focused,2,0.2482,1,"LOW_CONFIDENCE — model genuinely uncertain, borderline case"
614,"Honestly felt lighter, not fully though. ...",mixed,5,2,5,4,2,44,0,calm,2,0.4741,0,OVERLAPPING_STATES — 'mixed' and 'calm' share vocabulary
754,somehow i felt actually able to focus. sleep probably affected it. ...,focused,1,3,5,3,1,70,0,neutral,3,0.2969,1,OVERLAPPING_STATES — 'focused' and 'neutral' share vocabulary
419,I noticed I kept thinking about otehr tasks for a moment.,restless,4,4,4,2,0,57,0,neutral,3,0.4164,0,"NOISY_LABEL — vague reflection quality, unreliable ground truth"
